,city,latitude,longitude
0,"Collierville, TN",35.042036,-89.6645266
1,"Canonsburg, PA",40.2625702,-80.1872797
2,"Bentonville, AR",36.3728538,-94.2088172
3,"Rolling Meadows, IL",42.0841936,-88.0131275
4,"Roy, UT",41.1715361,-112.0273739
5,"Archbald, PA",41.4948038,-75.5368521
6,"Morrisville, NC",35.824341,-78.8300321
7,"Schwieberdingen, BW, Germany",48.8749991,9.0778484
8,"Gainesville, FL",29.6519684,-82.3249846
9,"Osaka, OS, Japan",34.7001138,135.5001559
10,"Shreveport, LA",32.4707862,-93.7559378
11,"Houston, TX",29.7589382,-95.3676974
12,"Martinsburg, WV",39.4562528,-77.9639604
13,"Clifton, NJ",40.8584328,-74.1637553
14,"Lynn, MA",42.466763,-70.9494939
15,"Des Moines, IA",41.5910323,-93.6046655
16,"Baltimore, MD",39.2908816,-76.610759
17,"Hazelwood, MO",38.7761446,-90.3715909
18,"Neuquen, NQ, Argentina",-34.0,-64.0
19,"Kazan, TT, Russia",60.0,100.0
20,"Edinburgh, SC, United Kingdom",55.9483399,-3.1932723
21,"Navi Mumbai, MH, India",22.0,79.0
22,"Sammamish, WA",47.6017554,-122.0416844
23,"Carlsbad, CA",33.1580933,-117.3505966
24,"Lisbon, LI, Portugal",38.7509759,-9.1521822
25,"Petah Tiqva, HM, Israel",31.5,34.75
26,"Florida, NY",30.8385202,-87.2008048
27,"Hong Kong, HK, Hong Kong (SAR)",22.2793278,114.1628131
28,"Morgantown, WV",39.6296809,-79.9559437
29,"Monterey, CA",36.2231079,-121.387742
30,"Indore, MP, India",22.0,79.0
31,"Whippany, NJ",40.8245442,-74.4170972
32,"San Fernando, CA",34.28497,-118.437652
33,"Montreal, QC, Canada",45.5031824,-73.5698065
34,"Courbevoic, IL, France",46.0,2.0
35,"Folsom, CA",38.6779591,-121.1760583
36,"San Jose, SJ, Costa Rica",9.9325427,-84.0795782
37,"Brussels, BU, Belgium",50.8436353,4.3673537
38,"Markham, ON, Canada",43.8563707,-79.3376825
39,"Noida, UP, India",28.5706333,77.3272147
40,"Southlake, TX",32.9412363,-97.1341783
41,"Burnsville, MN",44.7670567,-93.2773887
42,"Mahwah, NJ",41.0887072,-74.1437552
43,"Hoffman Estates, IL",42.0427256,-88.0792782
44,"Rehovot, HM, Israel",31.9586835,34.7937502
45,"Poughkeepsie, NY",41.7065539,-73.9283672
46,"Lenexa, KS",38.9697458,-94.7845837
47,"Spring, TX",30.0798826,-95.4172549
48,"Taipei, TP, Taiwan",25.0375198,121.5636796
49,"Zaragoza, AR, Spain",40.0,-4.0
50,"Newton, MA",42.3370414,-71.2092214
51,"Hannover, NI, Germany",52.3744779,9.7385532
52,"Pittsburg, CA",38.0181745,-121.8901232
53,"Holmdel, NJ",40.3451095,-74.1840322
54,"Singapore, SG, Singapore",1.2899175,103.8519072
55,"Berkeley, CA",37.8708393,-122.272863
56,"Columbus Grove, OH",40.919711,-84.0568336
57,"Santa Rosa, CA",38.4404925,-122.7141049
58,"Huntington Beach, CA",33.6783336,-118.0000166
59,"Steubenville, OH",40.3697905,-80.6339638
60,"Goleta, CA",34.4358295,-119.8276389
61,"Columbus, OH",39.9622601,-83.0007065
62,"Newport News, VA",36.9775016,-76.42977
63,"Rialto, CA",34.1064001,-117.3703235
64,"Norwalk, CT",41.1175966,-73.4078968
65,"Round Rock, TX",30.5085915,-97.6788056
66,"Mountain View, MO",36.9953322,-91.703755
67,"Seattle, WA",47.6038321,-122.330062
68,"Bellevue, WA",47.6144219,-122.192337
69,"Lodz, LD, Poland",51.7687323,19.4569911
70,"Birmingham, AL",33.5206824,-86.8024326
71,"San Leandro, CA",37.7249296,-122.1560768
72,"Arlington Heights, IL",42.0811563,-87.9802164
73,"Oklahoma City, OK",35.4729886,-97.5170536
74,"Burlingame, CA",37.5780965,-122.3473099
75,"Minnetonka, MN",44.9405086,-93.4638936
76,"Gilroy, CA",37.0065078,-121.5631723
